size (bytes),1-way 1st loop,1-way 2nd loop,2-way 1st loop,2-way 2nd loop,4-way 1st loop,4-way 2nd loop,8-way 1st loop,8-way 2nd loop,
2048,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,
4096,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,
8192,0.875,0.878,0.875,0.875,0.875,0.875,0.875,0.875,
16384,0.875,0.8976,0.875,0.8976,0.875,0.8976,0.875,0.8976,
32768,0.9488,1,0.9488,1,0.9488,1,0.9488,1,
