size (bytes),1-way 1st loop,1-way 2nd loop,2-way 1st loop,2-way 2nd loop,4-way 1st loop,4-way 2nd loop,8-way 1st loop,8-way 2nd loop,
2048,311.5000,311.5000,624.0000,624.0000,1249.0000,1249.0000,2499.0000,2499.0000,
4096,155.2500,155.2500,311.5000,311.5000,624.0000,624.0000,1249.0000,1249.0000,
8192,77.1250,77.1250,155.2500,155.2500,311.5000,311.5000,624.0000,624.0000,
16384,38.0625,38.0625,77.1250,77.1250,155.2500,155.2500,311.5000,311.5000,
32768,18.5312,18.5312,38.0625,38.0625,77.1250,77.1250,155.2500,155.2500,
