size (bytes),4 byte 1st loop,4 byte 2nd loop,8 byte 1st loop,8 byte 2nd loop,16 byte 1st loop,16 byte 2nd loop,32 byte 1st loop,32 byte 2nd loop,64 byte 1st loop,64 byte 2nd loop,
2048,0,0,0,0,0.5,0.5,0.75,0.75,0.875,0.875,
4096,0,0,0,0,0.5,0.5,0.75,0.75,0.875,0.875,
8192,0,0,0,0,0.5,0.5,0.75,0.75,0.875,0.875,
16384,0,0.1808,0,0.1808,0.5,0.5904,0.75,0.7952,0.875,0.8976,
32768,0.5904,1,0.5904,1,0.7952,1,0.8976,1,0.9488,1,
